Filename,value
NB1,0.2680655465566255
NB2,0.23342215836236274
NB3,0.15988666581683697
NB4,0.2522178066982838
NB5,0.2852316414250685
NB6,0.2055413818450814
NB7,0.17322168016185352
NB8,0.1430823142235561
NB9,0.3018642039659031
NB10,0.20105796416781835
NB11,0.27887149424548857
NB12,0.0803696607461401
NB13,0.2098641055060152
NB14,0.12305341976108913
NB15,0.1783032888447109
NB16,0.2624456835623859
NB17,0.15911028254612264
NB18,0.2351970417127439
NB19,0.20196879041534713
NB20,0.3816956116359713
NB21,0.3004223238907797
NB22,0.03465074509090288
NB23,0.42520520839658543
NB24,0.3448346797419577
NB25,0.4279771010215517
NB26,0.25196978095620653
NB27,0.339243958026302
NB28,0.2633813653991953
NB29,0.33458632011112366
NB30,0.0895722346453872
NB31,0.19356875221473116
NB32,0.16381623571944448
NB33,0.24570124508900018
NB34,0.2417978871605436
NB35,0.14691103018891666
NB36,0.23396072750124874
NB37,0.24050956803682552
NB38,0.2750866261800316
NB39,0.004588551893866709
NB40,0.23448133011267852
NB41,0.27946809441342413
NB42,0.18279846813456602
NB43,0.042362021229787515
NB44,0.11286239392473665
NB45,0.14958477627070177
NB46,0.17790460240682338
NB47,0.2660275260242644
NB48,0.1678172377144203
NB49,0.10784715596755483
NB50,0.22875856468594016
NB51,0.2640209100330866
NB52,0.21767205432396625
NB53,0.1718490628503675
NB54,0.15121394733111565
NB55,0.27767959412882215
NB56,0.14043597755149956
NB57,0.09539991029631634
NB58,0.21822506026401284
NB59,0.22725246399725327
NB60,0.20988765635769643
NB61,0.11515575575479903
NB62,0.16386491584050059
NB63,0.057591122331593865
NB64,0.05924058430861152
NB65,0.21135962864692712
NB66,0.2610337825508825
NB67,0.042022524380801014
NB68,0.037436244472867336
NB69,0.1568124852801646
NB70,0.15948722082819558
NB71,0.13071735733913847
NB72,0.13329055732885758
NB73,0.21964232435577133
NB74,0.2342895975598737
NB75,0.15947422546310505
NB76,0.1755974393779196
NB77,0.1261645371681715
NB78,0.33650423364243137
NB79,0.3175635413629698
NB80,0.20198700220754706
NB81,0.16930203753938727
NB82,0.34773622070115096
NB83,0.39451909709046357
NB84,0.2906446893147418
NB85,0.3483153261601992
NB86,0.19404992447299782
NB87,0.22007751668081557
NB88,0.17028989856545534
NB89,0.1578268438747425
NB90,0.357306480080375
NB91,0.04997657178069069
NB92,0.21312244762684296
NB93,0.22169132942732794
NB94,0.11374301294159647
NB95,0.093739433467014
NB96,0.09776488329993752
NB97,0.09621333695060903
NB98,0.11863052612283811
NB99,0.09000580822312255
NB100,0.3519355606452982
NB101,0.29377433350222465
NB102,0.2009916525155863
